productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extColor,extCardType,extLife,extPower,extSubtypes,extAttribute,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extCounterplus
602800,Tony Tony.Chopper (006),Tony TonyChopper 006,https://tcgplayer-cdn.tcgplayer.com/product/602800_200w.jpg,68,23907,https://cpt.tcgcsv.com/08R6,2024-12-06T19:08:52.53,0,C,ST01-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,1000,Animal;Straw Hat Crew,Strike,1.05,2.0,3.0,1.05,,Normal,1,
602801,Nico Robin,Nico Robin,https://tcgplayer-cdn.tcgplayer.com/product/602801_200w.jpg,68,23907,https://cpt.tcgcsv.com/28R6,2024-12-08T18:07:13.02,1,C,ST01-008,Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.,Red,Character,,5000,Straw Hat Crew,Wisdom,0.25,0.44,3.75,0.35,,Normal,3,1000
602802,Brook,Brook,https://tcgplayer-cdn.tcgplayer.com/product/602802_200w.jpg,68,23907,https://cpt.tcgcsv.com/38R6,2024-12-06T19:00:04.743,0,C,ST01-011,"[On Play] Give up to 2 rested DON!! cards to your Leader or 1 of your Characters.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,3000,Straw Hat Crew,Slash,0.72,1.0,4.99,0.72,,Normal,2,2000
602803,Guard Point,Guard Point,https://tcgplayer-cdn.tcgplayer.com/product/602803_200w.jpg,68,23907,https://cpt.tcgcsv.com/58R6,2024-12-06T19:01:13.817,0,C,ST01-014,"[Counter] Up to 1 of your Leader or Character cards gains +3000 power during this battle. 
<br>[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Event,,,Animal;Straw Hat Crew,,0.06,0.28,3.02,0.22,,Normal,1,
602804,Gum-Gum Jet Pistol,Gum Gum Jet Pistol,https://tcgplayer-cdn.tcgplayer.com/product/602804_200w.jpg,68,23907,https://cpt.tcgcsv.com/68R6,2024-12-06T19:03:05.51,0,C,ST01-015,"[Main] K.O. up to 1 of your opponent's Characters with 6000 power or less. 
<br>[Trigger] Activate this card's [Main] effect.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Event,,,Straw Hat Crew;Supernovas,,0.89,1.0,4.99,0.92,,Normal,4,
602805,Thousand Sunny,Thousand Sunny,https://tcgplayer-cdn.tcgplayer.com/product/602805_200w.jpg,68,23907,https://cpt.tcgcsv.com/78R6,2024-12-06T19:03:49.75,0,C,ST01-017,"[Activate: Main] You may rest this Stage: Up to 1 ""Straw Hat Crew"" type Leader or Character card on your field gains +1000 power during this turn.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Stage,,,Straw Hat Crew,,1.5,1.59,2.0,1.53,,Normal,2,
602806,Monkey.D.Luffy (003),MonkeyDLuffy 003,https://tcgplayer-cdn.tcgplayer.com/product/602806_200w.jpg,68,23907,https://cpt.tcgcsv.com/88R6,2025-12-15T13:49:20.923,1,L,OP01-003,"[Activate:Main] [Once Per Turn] (4) <em>(You may rest the specified number of DON!! cards in your cost area)</em>: Set up to 1 of your ""Supernova"" or ""Straw Hat Crew"" type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.
<br><br>
<a href=""https://en.onepiece-cardgame.com/rules/errata_card/#group_20221111-3"">This card has been officially errata'd.</a>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Green;Red,Leader,4,5000,Straw Hat Crew;Supernovas,Strike,19.28,31.45,100.0,19.18,,Normal,,
602807,Sai,Sai,https://tcgplayer-cdn.tcgplayer.com/product/602807_200w.jpg,68,23907,https://cpt.tcgcsv.com/98R6,2024-12-08T18:08:28.683,1,C,OP01-012,Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.,Red,Character,,4000,Happosui Army,Slash,0.04,0.3,4.9,0.25,,Normal,2,1000
602808,Tony Tony.Chopper (015),Tony TonyChopper 015,https://tcgplayer-cdn.tcgplayer.com/product/602808_200w.jpg,68,23907,https://cpt.tcgcsv.com/b8R6,2026-01-20T16:40:28.06,1,UC,OP01-015,"[DON!! x1] [When Attacking] <strong>You may trash 1 card from your hand:</strong> Add up to 1 ""Straw Hat Crew"" type Character card other than [Tony Tony.Chopper] with a cost of 4 or less from your trash to your hand.
<br><br>
<a href=""https://en.onepiece-cardgame.com/rules/errata_card/#group_20221111-9"">This card has been officially errata'd.</a>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,4000,Animal;Straw Hat Crew,Wisdom,0.24,0.56,4.0,0.4,,Normal,3,1000
602809,Radical Beam!!,Radical Beam,https://tcgplayer-cdn.tcgplayer.com/product/602809_200w.jpg,68,23907,https://cpt.tcgcsv.com/c8R6,2024-12-08T19:24:03.26,1,UC,OP01-029,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Event,,,Straw Hat Crew,,0.64,1.83,7.98,1.82,,Normal,1,
602810,Cavendish,Cavendish,https://tcgplayer-cdn.tcgplayer.com/product/602810_200w.jpg,68,23907,https://cpt.tcgcsv.com/d8R6,2024-12-08T18:04:25.153,1,C,OP01-008,"[On Play] <strong>You may add 1 card from your Life area to your hand:</strong> This Character gains [Rush] during this turn. <em>(This card can attack on the turn in which it is played.)</em>
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,5000,Beautiful Pirates;Supernovas,Slash,0.15,0.4,5.0,0.31,,Normal,4,
602811,Bartolomeo,Bartolomeo,https://tcgplayer-cdn.tcgplayer.com/product/602811_200w.jpg,68,23907,https://cpt.tcgcsv.com/f8R6,2024-12-06T19:13:05.453,0,C,OP01-019,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[DON!! x2] [Opponent's Turn] This Character gains +3000 power.
<br>
<br>Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.",Red,Character,,2000,Barto Club Pirates;Supernovas,Special,0.15,0.33,4.0,0.29,,Normal,2,1000
602812,Franky (010),Franky 010,https://tcgplayer-cdn.tcgplayer.com/product/602812_200w.jpg,68,23907,https://cpt.tcgcsv.com/g8R6,2024-12-08T18:53:51.7,1,C,ST01-010,Disclaimer: This card is considered <strong>Not Tournament Legal</strong>.,Red,Character,,6000,Straw Hat Crew,Strike,0.11,0.28,5.0,0.26,,Normal,4,1000
672598,DON!! Card,DON Card,https://tcgplayer-cdn.tcgplayer.com/product/672598_200w.jpg,68,23907,https://cpt.tcgcsv.com/-2p7,2026-01-16T16:06:35,1,DON!!,,Your Turn +1000,,DON!!,,,,,0.1,0.2,1.5,0.16,,Normal,,
705727,Monkey.D.Luffy - P-080,MonkeyDLuffy P 080,https://tcgplayer-cdn.tcgplayer.com/product/705727_200w.jpg,68,23907,https://cpt.tcgcsv.com/zjG7,2026-07-13T16:06:45.973,1,PR,P-080,,Red,Character,,9000,Straw Hat Crew;The Four Emperors;Egghead,Strike,99.93,100.57,101.21,,,Normal,7,1000
705728,Monkey.D.Luffy - P-022,MonkeyDLuffy P 022,https://tcgplayer-cdn.tcgplayer.com/product/705728_200w.jpg,68,23907,https://cpt.tcgcsv.com/BjG7,2026-07-13T16:05:59.843,1,PR,P-022,,Red,Character,,6000,Straw Hat Crew;Supernovas,Strike,99.99,99.99,99.99,,,Normal,4,1000
